sl_no,paper_id,title,Author(s),venue,year,abstract,keywords,source,url,retrieved_at,seed_query,region,notes
77,270569459,Aligning Design Studio Pedagogy to Industry Practice: Future Proofing Higher Design Education,Katja Fleischmann,International Journal of Changes in Education,2024,"Amid the Covid-19 pandemic, design education experienced a significant shift as traditional studio teaching went online. This transition coincided with industry demands for adaptable, technology-proficient graduates prepared to work and collaborate as part of a decentralized workforce. This study examines how design educators in seven countries adapted their post-pandemic studio pedagogy to align with these industry needs. An online survey was used to efficiently reach the wide, geographically dispersed participant pool of educators. Findings indicate a rising acceptance of online technologies in studio teaching. The majority of design educators are now incorporating online elements into their design teaching. Pre-recorded lectures, online feedback and critique sessions, self-paced learning activities, and the use of cloud-based collaboration tools are amongst the most frequently employed methods. Nearly a third of surveyed educators are even considering teaching fully online design courses. This shift reflects a forward-thinking approach aimed at better aligning design education and industry. However, the study also highlights the importance of remaining open to disruptive technologies like generative Artificial Intelligence which is currently reshaping the design industry and work practices.","online teaching strategies, virtual collaboration, online design studio, decentralize workforce, employability, artificial intelligence, design industry practice",Semantic Scholar,https://ojs.bonviewpress.com/index.php/IJCE/article/view/3051,11/9/2025,"""studio pedagogy"" AND ""digital design""",Australia,
78,269312208,McLuhan’s Tetrad as a Tool to Interpret the Impact of Online Studio Education on Design Studio Pedagogy,"Mehmet Sarper Takkeci, A. Erdem",Trends in Higher Education,2024,"The COVID-19 pandemic has led to a surge in online studio education, which has presented a significant challenge to traditional design studio teaching methods that rely on face-to-face interactions between instructors and students. It is contended that online studio education enhances the accessibility of design studio pedagogy, making it possible for students to learn from anywhere in the world. However, it also challenges the development of tactile skills, which are crucial in design education. Additionally, online studio education can render certain aspects of traditional design studio pedagogy obsolete, while bringing back elements of design history and theory that may have been overlooked in traditional studio teaching. It can also be argued that online studio education has the potential to reverse the traditional power dynamics between instructors and students, resulting in more democratic and collaborative forms of learning that can empower students. As the literature on the effects of online studio education is growing, there is a need to understand how the shift from the material space and its affordances to an online environment affects the core components of an architectural design studio. To understand the effects of this new medium, this research employed Marshall McLuhan’s tetradic approach, a hermeneutic tool to perform a critical interpretation of any medium by examining four simultaneous effects: how it enhances a human sense, what it makes obsolete, what forgotten aspect it retrieves, and how it flips into its opposite at its extremes. A literature review was conducted to analyze the effects of online studios from a tetradic framework and identify the major discussions of the impact of online studio education. The methodology involves a two-part literature review. This study specifically focused on peer-reviewed, empirical research published after 2020, and the authors used search terms related to online architectural studios during the pandemic. The process identified 176 records of peer-reviewed empirical studies for further analysis and 20 papers were read and included in the review, defining repeating topics/themes and organized under four categories pertaining to the founding archetypes of an architectural design studio: (a) setting and communication, (b) actors, (c) outputs, and (d) dynamics. This process was followed by organizing the findings and interpreting them within the tetradic framework to develop a comprehensive understanding of the consequences of the online design studio. Overall, this research aims to provide a detailed and nuanced analysis of the impact of online studio education on design studio pedagogy, conceptualizing McLuhan’s tetrad as a basis for the analysis, and therefore aiming to enrich our understanding of the post-COVID-19 era of learning architecture by examining the dramatic change in the medium and its effects.","architecture education, design studio pedagogy, online design studio education, tetradic analysis, post‑COVID‑19",Semantic Scholar,https://www.semanticscholar.org/reader/f87de4d5f9eb710111e76bba18ccdf0ab0118c49,11/9/2025,"""studio pedagogy"" AND ""digital design""",Turkey,
79,261920572,Applicability of the Studio Pedagogy for the Preparation of a Future Workforce,"Kari-Pekka Heikkinen, Kongkiti Phusavat, P. Galhena","International Journal of Management, Knowledge and Learning",2023,"Purpose: The primary objective is to identify key takeaways after implementing the LAB Studio Model or LSM pedagogy. Rather than focusing mainly on what the students learned, the study focuses on how they learned based on their experiences in the LSM pedagogy. This model was implemented at Oulu University of Applied Sciences in Finland during 2014-18. It was part of an experiment to help prepare the students for workplace learning in the era of Industry 4.0. Study design/methodology/approach: The study applies the explorative case-study research methodology. The interview was conducted with the two instructors responsible for planning and implementing the LSM pedagogy. After gathering opinions and thoughts from these two instructors, the next step was to conclude in conjunction with contemporary learning frameworks and practices. Findings: The study identified 12 key takeaways that contribute positively to learning and motivation to learn. These key takeaways are important for future research into how the students learned during the LSM pedagogy. Originality/value: The key takeaways are consistent with the previous findings in current pedagogical practices, potentially contributing to learning. Learning how to learn is an integral part of future work in the era of Industry 4.0","Learning, Industry 4.0, LAB Studio Model, motivation",Semantic Scholar,https://www.semanticscholar.org/reader/e571f85446b17e8e8fe9ae130b3879aa6f9f51cb,11/9/2025,"""studio pedagogy"" AND ""digital design""","Finland, Thailand",
80,271998648,Evolving Identities: An Overdue Discussion of Academic Libraries and Experiential Studio Pedagogy,"James Murphy, Matthew Parker","2023 ACSA/EAAE Teachers Conference, Educating the Cosmopolitan Architect",2024,"This proceeding discusses the application of an experientiallearning studio pedagogy to the problem of academiclibrary space design. Through this studio course, Mastersof Architecture students both proposed innovative designsfor academic libraries, and were given ownership of theirdesigns through a co-creative model which evolved throughthe studio. Experiential learning opens new doors in architecturaleducation, and this case study illustrates how, throughthoughtful and flexible programming, educators can achievesuccessful co-creative partnerships that tackle real-worlddesign challenges.","Academic Libraries, Experiential learning, Architectural Design Studios, Co creative pedagogy, Library Design",Semantic Scholar,https://www.acsa-arch.org/chapter/evolving-identities-an-overdue-discussion-of-academic-libraries-and-experiential-studio-pedagogy/,11/9/2025,"""studio pedagogy"" AND ""digital design""",Canada,
81,275839754,A Study on Art Education Learning Program Using PBL(Problem Based Learning) and Design Thinking,"Euna Lee, Dae Young Kwak",JOURNAL OF THE KOREAN SOCIETY DESIGN CULTURE,2024,"This study shares opinions in fusion with the design thinking process and conducts research on educational processes that enable learners to learn more actively and independently in terms of creativity and convergent thinking skills and self-direction than unilateral knowledge transfer education based on the constructivist epistemology that solves problems through interaction through cooperative learning based on the empathy of members. For the scope and the method, the study was conducted on 30 male and female students and professors in liberal arts high school, and the study intends to design a common and efficient way of creative/convergent talent education process model through utilizing the advantages of both concepts and processes of PBL and design thinking, while analyzing 11 previous studies that uses PBL and design thinking processes. The evaluation method follows a formative evaluation, one of the method of qualitative analysis, which examine learners’ learning motivation improvement, self-directed and reflective thinking, idea generation through communication and interaction of cooperative learning, and preferences of process utilization, strengths, weaknesses, and improvements, when the class was conducted using design thinking and constructive learning. It compares and analyze before and after the art class whether the process was applicable and if there was an improvement in creative/convergent thinking. Through this study, we expect to contribute to fostering creative and convergent talents who can create values by responding to various problems and attempting innovation through creative and convergent thinking in the future society.","Design Thinking, Constructivism Learning, Problem based learning (PBL), ",Semantic Scholar,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE12027622&buildDate=2025-11-11+16%3A57%3A59&nowDate=20251125_2&cdnUrl=https%3A%2F%2Fcdn.dbpia.co.kr%2Fstatic&buildTime=20251111165759&minify=.min&appVersion=1.0.0&language=ko_KR&hasTopBanner=true,11/11/2025,"""design thinking"" AND ""art education""",South Korea,
82,245892709,Art Education and Design Thinking: Reflections on Students Engaging With Community Using Design,"Michelle Wiebe, Sheilagh Seaton",The Canadian Review of Art Education,2021,The creative process has long been interwoven with art education practice. Design thinking has numerous parallels to the creative process and may be viewed as an appropriate method to encourage creative thinking in both art and design students. This observational case study reflects on two disparate challenges in which 47 students tackled aesthetic and community provocations by applying the design thinking process. Reflective consideration of the results of each ‘project’ provides insight into the application and value of a proposed Design Thinking framework in art and design education.,"Creativity, Design thinking, Innovation, Community",Semantic Scholar,https://www.semanticscholar.org/reader/6580f3a6d62c1342f98059326819dae8a8d41a1a,11/11/2025,"""design thinking"" AND ""art education""",Canada,
83,274214273,"Enriching STEAM education with visual art: education benefits, teaching examples, and trends","Chengxin Zhang, Bochen Jia",Discover Education,2024,"In the contemporary recent education landscape, an inventive paradigm known as ‘‘STEAM’’ has emerged, which augments the erstwhile STEM framework by incorporating the dimension of ‘‘Art’’. STEAM endeavors to enhance students' capacities for creativity, innovation, and design thinking. Among the various forms of artistic expression, the visual arts, as the earliest form of human expression, play a pivotal role within and beyond the boundaries of the arts, which gives visual arts-based STEAM (VA-STEAM) fundamentally advantageous and potential to enhance student learning in STEM fields. However, many explorers have encountered challenges when embarking upon or sustaining their involvement in VA-STEAM initiatives, primarily stemming from constraints such as an insufficiency of clear instruction, dedicated resources, requisite materials, or adequate temporal provisions for planning and preparation. This paper aims to understand the existing approaches of applying visual art into STEM dominated education system and explore the feasible and efficient way to integrate visual art into current STEM system. This paper aims to understand the existing approaches of applying visual art into STEM dominated education system and explore the feasible and efficient way to integrate visual art into current STEM system through a comprehensive literature review. In order to provide a comprehensive understanding of the current status of VA-STEAM to the explorers and interested parties in the related fields, the present literature review delves into the manifold benefits inherent to the existing domain of VA-STEAM education, elucidated illustrative pedagogical instances categorized by subject matter, and delineated prevailing trajectories within the educational landscape pertaining to this domain. 57 articles were identified, from which 49 papers were deeply studied and summarized. Prior research has indicated that the integration of VA-STEAM education holds the potential to yield a spectrum of benefits for students, encompassing improvements in memory retention, facilitation of causal reasoning skills, utilization as a pedagogical tool and resource, cultivation of nuanced artistic cognitive faculties encompassing observation, description, association, and comparison, as well as the enhancement of critical thinking capacities spanning observation, allocation, interpretation, and analysis. Moreover, VA-STEAM facilitates the application of multidisciplinary knowledge and creative thinking in the execution of design-based projects (DBP) or problem-based learning projects (PBL). To better assist teachers in implementing VA-STEAM, this paper summarized existing VA-STEAM teaching examples and multidisciplinary contents by subjects, including related projects or ideas for math & geometry, physical, biology, chemistry, and history classes. Notably, visual art serves as a conduit to express and evaluate STEM concepts, affording students the flexible means to visually depict and communicate complex concepts and ideas that elude verbal articulation. In the interest of supporting educators in the successful integration of VA-STEAM, this study also synthesizes extant teaching instances and interdisciplinary content across subjects, encompassing pertinent projects and concepts tailored to mathematics and geometry, physical sciences, biology, chemistry, and history disciplines. Visual art can be a great entry point to integrate art into STEM curriculums, it can provide a variety of benefits for different subjects. The current trajectory of VA-STEAM initiatives encompasses several key dimensions: (1) the strategic utilization of visual art as a mechanism for facilitating the visualization, exploration, and comprehension of STEM disciplines; (2) the integration of DBP and PBL that foster cross-disciplinary engagement and promote inquiry-driven educational experiences; and (3) the formulation of symbiotic programs characterized by mutual enhancement of STEM and art learning paradigms, yielding optimal outcomes for both domains.","Creativity and Arts Education, Engineering and Technology Education, Mathematical Teaching Educational Skills, Professional and Vocational Education, Technology and Design education",Semantic Scholar,https://link.springer.com/article/10.1007/s44217-024-00354-w,11/11/2025,"""design thinking"" AND ""art education""",United States,
84,270942990,Teacher Education: Design Thinking Approach in Makerspaces to Produce Quality Educational Video Games with a Visual Identity and Improve Design Thinking Skills,"Y. Zaky, Ensaf Nasser Al Mulhim",Education Sciences,2024,"Video games participate effectively in the educational process due to their attractive visual features, but there are many challenges that teachers face when using them. Among these challenges is designing games to suit the goals of the educational process and respecting societal identity. Although there are many studies on educational video games, limited approaches that enhance teachers’ education have been explored. The current study focuses on stimulating pre-service teachers’ design thinking skills and improving the quality of their video games that have a visual identity by incorporating a design thinking approach into a makerspace. This study followed a quasi-experimental approach, in which 38 pre-service teachers from the departments of Art Education, Early Childhood Education, and Educational Technology at the College of Education at King Faisal University in Saudi Arabia participated. They designed and produced educational video games that consider visual identity and completed the design thinking scale. The results showed that there was great cooperation between participants from all disciplines in the work team, which affected the generation of creative and innovative ideas and the quality of the educational video games. This is due to the use of design thinking elements such as empathy, identification, ideation, and prototyping with different tools in the makerspace. This study calls for the use of a design thinking approach in the classroom learning space for teachers’ education, discusses implications for educational practices, and recommends further research in this area."," teacher education, design thinking, makerspace, educational video games, visual identity, product quality, Saudi Arabia",Semantic Scholar,https://www.mdpi.com/2227-7102/14/7/718,11/11/2025,"""design thinking"" AND ""art education""",Saudi Arabia,
85,274600924,Innovative Design of Ideological and Political Education in Art Courses in Higher Education: A Case Study of “Creative Design Thinking and Methods”,"Songyuan Li, Kexin Wang",Highlights in Art and Design,2024,"This study focuses on the innovative design of ideological and political education in art courses in higher education, using the course “Creative Design Thinking and Methods” as a case study. It begins by analyzing the significance and research objectives of integrating ideological and political education into art courses, systematically elaborating on its connotations, objectives, and unique advantages in art education. By showcasing practical examples of curriculum integration, such as ""Campus Culture Integration Design,"" ""Tribute to Red Culture,"" and ""Course Project Outcome Reports,"" the study explores innovative methods for deeply integrating ideological and political education with professional courses. The research summarizes the outcomes of these practices and envisions future directions, including optimizing teaching methods, enhancing faculty capabilities, expanding practical teaching channels, and establishing a scientific evaluation system. This study provides theoretical support and practical insights for the construction of ideological and political education in art courses in higher education.","Art Courses, Ideological and Political Education in Courses, Creative Design Thinking and Methods, Red Culture",Semantic Scholar,https://drpress.org/ojs/index.php/hiaad/article/view/27818,11/11/2025,"""design thinking"" AND ""art education""",China Republic,
86,225891016,MODELING DESIGN STUDIO PEDAGOGY: A MENTORED REFLECTIVE PRACTICE,"J. Milovanovic, J. Gero",Proceedings of the Design Society: DESIGN Conference,2020,This paper explores the notion of mentored reflective practice to describe design studio pedagogy. Students learn how to design by doing design in the studio. Design critiques are a key element in design studio pedagogy as they capture a moment where students get feedback from their tutors on their designs. The research questions addressed concern the roles of each participant during design studio reviews and their interactions with design representations. The protocol analysis methodology and the Function Behavior Structure ontology are utilized to convey our case study analysis.,"design education, co-design, design review, design representation, protocol analysis",Semantic Scholar,https://www.cambridge.org/core/journals/proceedings-of-the-design-society-design-conference/article/modeling-design-studio-pedagogy-a-mentored-reflective-practice/9A87F7845BA334E555C99DE73F42C3B4,11/14/2025,"""reflective practice"" AND ""design studio""",United States,
87,279578609,Embodied Learning in Architecture: A Design Studio Model Utilizing Extended Reality,Jin Mi Lee,Buildings,2025,"This study presents a novel pedagogical model for architectural education that integrates an extended-reality (XR) enhanced learning environment with embodied cognitive approaches. Addressing the limited application of technology-driven embodied experiences in architectural education and the lack of empirical studies assessing their effectiveness, this research examines how an XR-integrated design studio model facilitates ideation, design development, and reflective practice. Using an action-research methodology over 15 weeks, the study involved 12 third-year architecture students divided into experimental and control groups. The first two stages assessed the model’s impact on time management, decision-making, and students’ sense of ownership in the design process, while the third and fourth stages evaluated the quality of design outcomes, creativity, presentation skills, and overall student satisfaction. The findings demonstrate that an embodied cognition-based XR learning environment significantly enhances students’ experiential understanding of design proposals, encourages active exploration of design alternatives, and supports problem-solving within the architectural design process. The model also improved decision-making and time management by enabling students to comprehensively experience and evaluate their proposals. This study highlights the pedagogical value of integrating embodied cognition principles with immersive digital environments in architectural education and provides a structured framework for leveraging emerging technologies to enhance creativity and innovation in design studios.","extended reality, XR; architectural design studio, embodied cognition, design methodology, design pedagogy",Semantic Scholar,https://www.mdpi.com/2075-5309/15/13/2158,11/14/2025,"""reflective practice"" AND ""design studio""",United Kingdom,
88,283132340,TEACHING CREATIVITY IN ART AND DESIGN STUDIO CLASSES: A SYSTEMATIC LITERATURE REVIEW,"M. Zakaria, N. Zainuddin, A. Aris","International Journal of Education, Psychology and Counseling",2025,"Creativity is widely regarded as a core graduate attribute in art and design education, yet its teaching and assessment within studio-based learning remain complex and contested. This study conducts a systematic literature review of empirical research published between 2000 and 2025 to examine how creativity is conceptualized, taught, and evaluated in art and design studio contexts. Using structured search strategies and defined inclusion criteria, the review identifies four dominant pedagogical approaches: interdisciplinary collaboration to broaden perspectives, scaffolded learning to nurture creative autonomy, design thinking and problem-based learning to stimulate divergent and convergent thinking, and critique sessions to foster reflective practice. Findings highlight the persistent tension between structured guidance and open-ended exploration, underscoring the need for balanced pedagogical strategies that support both innovation and institutional accountability. Significant gaps remain in cross-institutional studies and in understanding online or hybrid studio models. The review offers evidence-based insights for educators, curriculum designers, and policymakers seeking to enhance creativity in studio pedagogy while preserving its distinctive culture.","Creativity Pedagogy, Art and Design Education, Studio-Based Learning, Design Thinking, Problem-Based Learning",Semantic Scholar,https://gaexcellence.com/ijepc/article/view/6264,11/14/2025,"""reflective practice"" AND ""design studio""",Malaysia,
89,272935988,Modelling teachers’ reflective practice,Wenche Hammer Johannessen,Reflective Practices,2024,"Previous research highlights challenges in modelling teachers’ reflective practice to explore and identify their beliefs and reflections. This paper explores how methodical triangulation, combining reflective dialogues and various reflective tools, enhances teachers’ awareness of their beliefs and reflections. It facilitates a deeper exploration of teachers’ beliefs and reflections related to learning and teaching. The study is based on a descriptive analysis of reflections generated in three different individual reflective dialogues with six lower secondary teachers. The findings indicate that triangulation strengthens the teachers’ reflections, particularly through using visual reflection tools and the researcher as a “reflective catalyst’. This combination increases their awareness of their own beliefs and encourages reflection.","Professional development, teachers, beliefs, reflections,  belief map, video",Semantic Scholar,https://www.semanticscholar.org/paper/Modelling-teachers%E2%80%99-reflective-practice-Johannessen/28195d56ccbd4dfc648df3b862dc9d6ac93d4cc1,11/14/2025,"""reflective practice"" AND ""design studio""",Norway,
90,268161831,Revising the guide for reflective practice: problems and readiness,Scott W. Greenberger,Reflective Practices,2023,"This article provides a revision, further clarification, and minor updates to the published Guide for Reflective Practice (GRP). As an executive editor for a journal that uses the GRP as an author guide, I recognize the need to continually modify and update the guide to keep it relevant. First, based upon recent published work on reflective orientation, a reflective readiness section was added. Next, through coaching faculty on its use, I have noticed the need to provide greater clarity on how to identify, define, and articulate problems of practice, so further clarification is provided on this section of the GRP. Lastly, minor updates to the guide since its last publication are provided. Recommendations for future research include creating ancillary material to explain difficult concepts in the working ideas, evaluation of ideas, and decision sections; additional research on reflective readiness, such as examining the role of practical and spiritual disciplines in enhancing the attitudes for reflection; and developing a Dewey-based model for reflective practice as a research method.","Reflective practice, Dewey, reflective readiness, problem of practice, guide for reflective practice",Semantic Scholar,https://www.tandfonline.com/doi/abs/10.1080/14623943.2024.2321512,11/14/2025,"""reflective practice"" AND ""design studio""",United States,
91,279382266,How Do Researchers and Teachers Co-Design Computational Thinking Education? A Synergistic Approach for Professional Learning,"Zhichun Liu, Xuechun Shi, Kun Wang, Ruohan Liu",International Society of the Learning Sciences,2025,"This paper examines the dynamics of a researcher-teacher partnership in co-designing computational thinking (CT) learning experiences for young children. While CT integration in early childhood education has gained increasing attention, the gap between theoretical frameworks and practical implementation remains a significant challenge. Through the lens of co-design in professional learning, we analyze the synergistic effort between researchers and a teacher during a five-day summer program involving 14 children (ages 4-12) in eastern China. Our findings reveal distinct patterns of engagement among different stakeholders, highlighting the complementary nature of theoretical and practical expertise in the co-design practices. The insights contribute to our understanding of effective professional learning experiences for CT education and offer practical implications for scaling similar initiatives in diverse cultural contexts.","Co-design, computational thinking",Semantic Scholar,https://repository.isls.org/handle/1/11406,11/14/2025,"""computational design education""",Hong Kong,
92,281645486,Structurally integrated architectural design education: a computational design approach,"Oyku Acican, L. Luyten",Architectural Engineering and Design Management,2024,"This research explores teaching new strategies to enhance early structural integration skills of architects through computational design and structural analysis, that enable structural simulations, form-finding, and iterative design experiments. The research adopts a participatory action research methodology, in an educational context with architecture students. Structural integration steps were investigated within Jane Dark’s design theory ‘generator-conjecture-analysis’. The structural integration strategies emphasized the cognitive shift toward viewing architectural forms as systems of structural elements, joints, and supports. Participants engaged in customized exercises developed to explore structural design variations within each student’s project context with the goal of early structural integration, by using computational design and structural analysis. Students received feedback from experts, facilitating a continuous mapping between design ideas and structural consequences. This approach improved students’ confidence, motivation, and creativity in structural integration. Key findings indicate that the tested teaching method can support developing some of the skills for structurally integrated design promoting structural reflection-in-action and flexibility in form-finding.","Structural integration, architectural design, design cognition, computational design, architecture education",Semantic Scholar,https://www.tandfonline.com/doi/full/10.1080/17452007.2025.2553002,11/14/2025,"""computational design education""",Belgium,
93,281875090,Computational Design in Architectural Education: A methodological approach for integrating cognitive and technical skills for parametric design and digital fabrication,"Bárbara Ruschel Lorenzoni, Angélica Paiva Ponzio, Léia Miotto Bruscato",SIGRADI proceedings 2024,2025,"This paper contributes to a research initiative aimed at enhancing creative design capabilities in undergraduate architectural students through the development of computational design skills. It proposes a methodology focused on cognitive and technical abilities, such as algorithmic thinking, shape generation, parametric design thinking, digital fabrication, geometry manipulation and generative AI experimentation. The approach, a project-based learning, culminates in the development of a parametric exhibition pavilion. Initial phases included theoretical lectures complemented by activities fostering parametric reasoning, physical modeling, and artificial intelligence image generation. Subsequent phases emphasized developing computational skills through tutorials on parametric modeling and prototyping. Results demonstrated that integrating cognitive and technical skills through practical exercises facilitated an understanding of design problem-solving. Challenges included managing complex geometries, adopting optimization techniques, and refining structural and fabrication solutions. The experience is expected to inspire similar advancements in architectural education and computational design methodologies, especially in the beginning of undergraduate architecture programs.","Pedagogies, Algorithmic thinking, Geometry, Parametric form-finding, Digital fabrication",Semantic Scholar,https://papers.cumincad.org/cgi-bin/works/paper/sigradi2024_412,11/14/2025,"""computational design education""",Brazil,
94,277356621,Exploring Computational Design Education to Prepare for AI-Generated Industrial Design,Sehun Oh,The Treatise on The Plastic Media,2025,"This study explores the computational design and coding education needs in the field of product design, with a particular focus on the impact of generative AI technologies on product design. It analyzes the development of AI technologies and the educational needs to utilize them in design, and aims to cultivate design skills using AI and coding skills. In particular, it examines coding education methods suitable for non-programmers and design methods using languages such as Python. This study introduces the innovations that generative AI technologies have brought to the field of design and discusses the new competencies that these technologies require of designers. Next, existing research and practical examples of AI applications from the perspective of industrial design are first analyzed, followed by an in-depth review of computational design, including parametric design and generative design. Next, we examined the needs for coding education to more effectively apply these design techniques. Finally, this study examined the potential for computational design to play an important role in the evolution to an AI-driven industrial design environment in the future, and proposed educational content and directions to prepare for this. This paper aims to develop students' ability to understand the advantages and limitations of AI and to utilize it as a tool for designing three-dimensional solid shapes in the current transitional situation where generative AI is beginning to be utilized in industrial design.","Industrial Design, Computational Design, Parametric Design, Generative Design, Designer Coding Education",Semantic Scholar,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE12107093&buildDate=2025-11-11+19%3A33%3A37&nowDate=20251125_1&cdnUrl=https%3A%2F%2Fcdn.dbpia.co.kr%2Fstatic&buildTime=20251111193337&minify=.min&appVersion=1.0.0&language=en_US&hasTopBanner=true,11/14/2025,"""computational design education""",South Korea,
95,258931361,Innovative Voice-Activated Robots for Computational Thinking Education: Design and Development,"Judy C. R. Tseng, Wei Li",WSEAS Transactions on Advances in Engineering Education,2023,"With the advent of the digital age, countries worldwide have begun to emphasize computational thinking education, hoping to cultivate learners' abilities to meet the requirements of future talents. Currently, computational thinking education in young children is mainly based on visual programming on computers or robots. However, using computers requires a prior understanding of abstract thinking, which is difficult for young children to master. To meet the need for cultivating computational thinking in younger children, this study combines a tangible robot with a verbal user interface to develop a set of voice-activated programming robots suitable for younger children. The learner gives verbal commands to make the robot perform the specified actions and complete the problem-solving task. This approach allows children to ignore the syntax of the programming language and thus focus more on problem-solving."," Computational Thinking, Educational Robot, Verbal Programming Language ",Semantic Scholar,https://wseas.com/journals/education/2023/a165110-007(2O23).pdf,11/14/2025,"""computational design education""",Taiwan,
96,256531953,Technology-Enhanced Learning in Light of Bloom’s Taxonomy: A Student-Experience Study of the History of Architecture Course,"Dua Al Maani, Zaher Shanti",Sustainability,2023,"The purpose of this study is to determine whether and how the use of video-based learning resources by architecture students contributes to the development of high-order cognitive abilities in light of Bloom’s revised taxonomy, as well as how satisfied these students are with this integration into their coursework. Convenience sampling was used to recruit participants who completed a two-phase questionnaire (n = 52) and focus-group interviews (n = 16). This study provided empirical evidence of the advantages of this integration in establishing a student-centered atmosphere, and as a cost-effective, accessible, and sustainable strategy for enhancing blended learning in the field of architectural history. Nonetheless, the examination of the narratives suggests that this strategy primarily nurtures low-order cognitive abilities. To maximize the potential of this pedagogical strategy to improve student learning outcomes, educators must develop curricula that nurture high-order thinking using Bloom’s taxonomy taking into consideration the characteristics of each discipline. Learning activities should go beyond memorization and recall of facts, allowing students to apply, analyze, synthesize, and evaluate their knowledge, as well as consider concepts from multiple perspectives.","student-experience, blended learning, architectural education, technology-enhanced learning, sustainable education, Bloom’s taxonomy",Semantic Scholar,https://www.mdpi.com/2071-1050/15/3/2624,11/18/2025,"""technology-enhanced learning"" AND ""architecture""",Jordan,
97,282978599,The Role of Generative AI in Architecture Education from Students’ Perspectives—A Cross-Sectional Descriptive and Correlational Study,"W. Labib, Amal Abdelsattar, E. Abowardah, Marwa Abdelalim, Hatem Mahmoud ",Sustainability,2025,"Architecture students have a limited understanding of technology’s pedagogical benefits, which creates a gap between the potential of technology-enhanced learning and its actual implementation. A promising solution to this underlying problem would be the integration of GAI in architecture education. The purpose of this study is to explore the role of GAI in architecture education from students’ perspectives. A self-developed questionnaire was employed to collect data from 239 architecture students from three universities in Saudi Arabia and Egypt. Frequency distribution and structural equation modeling (SEM) were employed for data analysis. The study found a low level of awareness and moderate level of perception toward GAI. Integrating GAI into architecture education through knowledge and ethical awareness enhances students’ general skills competency and architecture and design expertise. Students who perceive GAI as beneficial enhance their general skills competency, while those who perceive GAI as challenging undermine their architecture and design expertise. The study also reported that students who intend to integrate GAI in architecture education have high ethical awareness toward GAI and possess a positive perception about GAI while inclining toward its benefits. Students should gain a better understanding of GAI tools and the ways to use them in architecture education in order to improve their general and field-specific skills proficiency. Educators must work with students to enhance their knowledge about GAI and the perception of its benefits and challenges, so that a focused skills development can transform students’ basic competencies to advanced architecture and design expertise.","generative artificial intelligence, architecture, education, students, employability skills, behavioral intention, knowledge, perceived benefits, perceived challenges, ethical awareness",Semantic Scholar,https://www.mdpi.com/2071-1050/17/22/10029,11/18/2025,"""technology-enhanced learning"" AND ""architecture""",Saudi Arabia,
98,282965036,The influence of educational virtual reality on the visual perception skills of architecture students,"F. Fakourian, M. Khakzand, Esra Kurul, Mehdi Hamzenejad",International Journal of Technology Enhanced Learning,2025,"This study explores the educational potential of virtual reality (VR) as a transformative tool in architectural pedagogy, focusing on its impact on the visual perception skills of architecture students in Iran. Despite the increasing global interest in immersive technologies, their application in design education remains limited and largely experimental. Using a quasi-experimental pre-testpost-test design, 90 undergraduate architecture students were assigned to experimental and control groups. The experimental group participated in VR-based learning sessions integrated into a basic design studio, while the control group received conventional instruction. A validated visual perception assessment was employed to measure outcomes across domains such as spatial cognition, construction drawing interpretation, and three-dimensional visualisation. Statistical analyses using SPSS and AMOS 26 revealed a significant improvement in the visual perception scores of the experimental group. The findings emphasise the effectiveness of VR in strengthening cognitive skills critical to architectural design, suggesting a shift toward more immersive and perception-based learning environments. This study contributes to the evolving discourse on digital innovation in architectural education, presenting empirical evidence that supports the structured integration of VR into design curricula. Future cross-regional studies are recommended to better understand the broader educational implications of this emerging technology.","educational virtual reality, visual perception, architecture students, architectural design education, experiential learning",Semantic Scholar,https://www.inderscience.com/info/ingeneral/forthcoming.php?jcode=ijtel#131771,11/18/2025,"""technology-enhanced learning"" AND ""architecture""",Iran,
99,260003079,Architectural and Construction Training Based on the Productive Method of Creating Patentable Solutions,"A. Korotich, L. Mironova, N. Fomin, Viktor Kolyasnikov",2023 3rd International Conference on Technology Enhanced Learning in Higher Education (TELE),2023,"The article is devoted to the original author’s approach to invention in the field of architecture and construction. The concepts of “direct” and “reverse” paths in the process of branch invention are formulated. An original productive method for creating patentable solutions in architecture and construction as a result of the inventor’s “reverse” path is presented, as well as an example of its practical implementation. It is concluded that it is necessary to teach students of architectural and construction specialties the algorithms of the “direct” and “reverse” paths to ensure the technological sovereignty of the construction industry and the innovative development of industry enterprises","architectural and construction training at the university, patentable solutions, branch invention architecture, construction, invention methods, technical efficiency",Semantic Scholar,https://ieeexplore.ieee.org/document/10184382,11/18/2025,"""technology-enhanced learning"" AND ""architecture""",Russian Federation,
